year,cable_id,ocean_route,operator_type,rfs_year,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,design_life_years,route_redundancy,is_low_redundancy,vulnerability_index,fault_cause,fault_this_year,fault_next_year,next_observed_year,has_consecutive_next_year,label_temporally_valid,exclusion_reason,capacity_headroom_tbps,lit_to_design_ratio,lit_capacity_change_yoy,utilization_change_yoy,route_redundancy_change_yoy,fault_previous_year,fault_count_prior_3_calendar_years,years_since_previous_fault
2015,CAB0001,Africa-Coastal,carrier,2012,3,39,14098.0,5,None,1092.0,487.2,41.7,1,25,36,1,24.6,none,0,0.0,2016.0,True,True,,604.8,0.4461538461538461,,,,,0,
2016,CAB0001,Africa-Coastal,carrier,2012,4,39,14098.0,5,None,1092.0,507.7,51.5,1,25,37,1,26.2,none,0,0.0,2017.0,True,True,,584.3,0.46492673992673994,20.5,9.799999999999997,1.0,0.0,0,
2017,CAB0001,Africa-Coastal,carrier,2012,5,39,14098.0,5,None,1092.0,632.5,80.0,1,25,40,0,7.9,none,0,0.0,2018.0,True,True,,459.5,0.5792124542124543,124.80000000000001,28.5,3.0,0.0,0,
2018,CAB0001,Africa-Coastal,carrier,2012,6,39,14098.0,5,None,1092.0,546.9,17.5,1,25,40,0,9.5,none,0,0.0,2019.0,True,True,,545.1,0.5008241758241758,-85.60000000000002,-62.5,0.0,0.0,0,
2019,CAB0001,Africa-Coastal,carrier,2012,7,39,14098.0,5,None,1092.0,585.7,71.3,1,25,42,0,11.1,none,0,0.0,2020.0,True,True,,506.29999999999995,0.5363553113553114,38.80000000000007,53.8,2.0,0.0,0,
2020,CAB0001,Africa-Coastal,carrier,2012,8,39,14098.0,5,None,1092.0,808.1,57.0,1,25,43,0,12.7,none,0,1.0,2021.0,True,True,,283.9,0.740018315018315,222.39999999999998,-14.299999999999997,1.0,0.0,0,
2021,CAB0001,Africa-Coastal,carrier,2012,9,39,14098.0,5,None,1092.0,809.8,40.8,1,25,44,0,14.3,fishing_anchor,1,0.0,2022.0,True,True,,282.20000000000005,0.7415750915750915,1.6999999999999318,-16.200000000000003,1.0,0.0,0,
2022,CAB0001,Africa-Coastal,carrier,2012,10,39,14098.0,5,None,1092.0,964.0,36.6,1,25,45,0,15.9,none,0,1.0,2023.0,True,True,,128.0,0.8827838827838828,154.20000000000005,-4.199999999999996,1.0,1.0,1,1.0
2023,CAB0001,Africa-Coastal,carrier,2012,11,39,14098.0,5,None,1092.0,1063.7,48.9,1,25,47,0,17.5,fishing_anchor,1,0.0,2024.0,True,True,,28.299999999999955,0.9740842490842492,99.70000000000005,12.299999999999997,2.0,0.0,1,2.0
2024,CAB0001,Africa-Coastal,carrier,2012,12,39,14098.0,5,None,1092.0,1092.0,34.2,1,25,49,0,19.0,none,0,0.0,2025.0,True,True,,0.0,1.0,28.299999999999955,-14.699999999999996,2.0,1.0,2,1.0
2025,CAB0001,Africa-Coastal,carrier,2012,13,39,14098.0,5,None,1092.0,1092.0,39.4,1,25,52,0,20.6,none,0,0.0,2026.0,True,True,,0.0,1.0,0.0,5.199999999999996,3.0,0.0,1,2.0
2024,CAB0002,Indian-Ocean,carrier,2024,0,6,6142.0,8,None,270.9,77.7,24.3,0,25,41,0,15.9,none,0,0.0,2025.0,True,True,,193.2,0.2868217054263566,,,,,0,
2025,CAB0002,Indian-Ocean,carrier,2024,1,6,6142.0,8,None,270.9,64.8,62.7,0,25,44,0,17.5,none,0,0.0,2026.0,True,True,,206.09999999999997,0.23920265780730898,-12.900000000000006,38.400000000000006,3.0,0.0,0,
2025,CAB0003,Intra-Europe,carrier,2025,0,12,1848.0,3,None,558.9,138.8,30.3,1,25,58,0,0.0,none,0,0.0,2026.0,True,True,,420.09999999999997,0.24834496332080877,,,,,0,
2015,CAB0004,Intra-Pacific-Islands,consortium,2012,3,8,379.0,5,None,224.0,86.8,59.0,0,25,28,1,40.5,none,0,1.0,2016.0,True,True,,137.2,0.3875,,,,,0,
2016,CAB0004,Intra-Pacific-Islands,consortium,2012,4,8,379.0,5,None,224.0,110.3,28.7,0,25,29,1,42.1,natural_hazard,1,1.0,2017.0,True,True,,113.7,0.49241071428571426,23.5,-30.3,1.0,0.0,0,
2017,CAB0004,Intra-Pacific-Islands,consortium,2012,5,8,379.0,5,None,224.0,128.1,98.3,0,25,29,1,43.7,natural_hazard,1,0.0,2018.0,True,True,,95.9,0.571875,17.799999999999997,69.6,0.0,1.0,1,1.0
2018,CAB0004,Intra-Pacific-Islands,consortium,2012,6,8,379.0,5,None,224.0,146.2,79.6,0,25,30,1,45.2,none,0,0.0,2019.0,True,True,,77.80000000000001,0.6526785714285713,18.099999999999994,-18.700000000000003,1.0,1.0,2,1.0
