cable_id,year,ocean_route,operator_type,chokepoint,age_years,fiber_pairs,length_km,n_landing_countries,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,route_redundancy,fault_this_year,fault_next_year
CAB0001,2015,Africa-Coastal,carrier,None,3,39,14098.0,5,1092.0,487.2,41.7,1,36,0,0
CAB0001,2016,Africa-Coastal,carrier,None,4,39,14098.0,5,1092.0,507.7,51.5,1,37,0,0
CAB0001,2017,Africa-Coastal,carrier,None,5,39,14098.0,5,1092.0,632.5,80.0,1,40,0,0
CAB0001,2018,Africa-Coastal,carrier,None,6,39,14098.0,5,1092.0,546.9,17.5,1,40,0,0
CAB0001,2019,Africa-Coastal,carrier,None,7,39,14098.0,5,1092.0,585.7,71.3,1,42,0,0
CAB0001,2020,Africa-Coastal,carrier,None,8,39,14098.0,5,1092.0,808.1,57.0,1,43,0,1
CAB0001,2021,Africa-Coastal,carrier,None,9,39,14098.0,5,1092.0,809.8,40.8,1,44,1,0
CAB0001,2022,Africa-Coastal,carrier,None,10,39,14098.0,5,1092.0,964.0,36.6,1,45,0,1
CAB0001,2023,Africa-Coastal,carrier,None,11,39,14098.0,5,1092.0,1063.7,48.9,1,47,1,0
CAB0001,2024,Africa-Coastal,carrier,None,12,39,14098.0,5,1092.0,1092.0,34.2,1,49,0,0
CAB0001,2025,Africa-Coastal,carrier,None,13,39,14098.0,5,1092.0,1092.0,39.4,1,52,0,0
CAB0002,2024,Indian-Ocean,carrier,None,0,6,6142.0,8,270.9,77.7,24.3,0,41,0,0
CAB0002,2025,Indian-Ocean,carrier,None,1,6,6142.0,8,270.9,64.8,62.7,0,44,0,0
CAB0003,2025,Intra-Europe,carrier,None,0,12,1848.0,3,558.9,138.8,30.3,1,58,0,0
CAB0004,2015,Intra-Pacific-Islands,consortium,None,3,8,379.0,5,224.0,86.8,59.0,0,28,0,1
CAB0004,2016,Intra-Pacific-Islands,consortium,None,4,8,379.0,5,224.0,110.3,28.7,0,29,1,1
CAB0004,2017,Intra-Pacific-Islands,consortium,None,5,8,379.0,5,224.0,128.1,98.3,0,29,1,0
CAB0004,2018,Intra-Pacific-Islands,consortium,None,6,8,379.0,5,224.0,146.2,79.6,0,30,0,0
CAB0004,2019,Intra-Pacific-Islands,consortium,None,7,8,379.0,5,224.0,130.3,90.3,0,35,0,0
CAB0004,2020,Intra-Pacific-Islands,consortium,None,8,8,379.0,5,224.0,150.5,74.5,0,40,0,1
CAB0004,2021,Intra-Pacific-Islands,consortium,None,9,8,379.0,5,224.0,173.3,83.5,0,41,1,0
CAB0004,2022,Intra-Pacific-Islands,consortium,None,10,8,379.0,5,224.0,191.1,58.0,0,43,0,0
CAB0004,2023,Intra-Pacific-Islands,consortium,None,11,8,379.0,5,224.0,211.1,51.3,0,45,0,0
CAB0004,2024,Intra-Pacific-Islands,consortium,None,12,8,379.0,5,224.0,224.0,30.5,0,48,0,0
CAB0004,2025,Intra-Pacific-Islands,consortium,None,13,8,379.0,5,224.0,224.0,84.4,0,50,0,0
CAB0005,2020,EMEA-Asia,hyperscaler,None,0,16,18833.0,3,630.9,135.9,51.7,1,40,0,0
CAB0005,2021,EMEA-Asia,hyperscaler,None,1,16,18833.0,3,630.9,209.0,34.2,1,44,0,0
CAB0005,2022,EMEA-Asia,hyperscaler,None,2,16,18833.0,3,630.9,225.1,44.4,1,45,0,0
CAB0005,2023,EMEA-Asia,hyperscaler,None,3,16,18833.0,3,630.9,246.4,39.3,1,47,0,0
CAB0005,2024,EMEA-Asia,hyperscaler,None,4,16,18833.0,3,630.9,259.3,25.6,1,48,0,0
CAB0005,2025,EMEA-Asia,hyperscaler,None,5,16,18833.0,3,630.9,350.5,85.6,1,47,0,0
CAB0006,2019,Trans-Atlantic,carrier,None,0,5,7004.0,7,190.0,51.3,33.1,1,45,0,0
CAB0006,2020,Trans-Atlantic,carrier,None,1,5,7004.0,7,190.0,56.5,36.6,1,48,0,0
CAB0006,2021,Trans-Atlantic,carrier,None,2,5,7004.0,7,190.0,63.4,32.0,1,50,0,0
CAB0006,2022,Trans-Atlantic,carrier,None,3,5,7004.0,7,190.0,70.6,21.1,1,51,0,0
CAB0006,2023,Trans-Atlantic,carrier,None,4,5,7004.0,7,190.0,95.8,52.8,1,54,0,0
CAB0006,2024,Trans-Atlantic,carrier,None,5,5,7004.0,7,190.0,106.2,72.9,1,58,0,0
CAB0006,2025,Trans-Atlantic,carrier,None,6,5,7004.0,7,190.0,120.7,27.8,1,62,0,1
CAB0007,2022,Africa-Coastal,consortium,None,0,34,9553.0,6,1437.7,276.3,54.9,0,45,0,0
CAB0007,2023,Africa-Coastal,consortium,None,1,34,9553.0,6,1437.7,372.0,18.0,0,47,0,0
CAB0007,2024,Africa-Coastal,consortium,None,2,34,9553.0,6,1437.7,477.4,49.6,0,49,0,1
CAB0007,2025,Africa-Coastal,consortium,None,3,34,9553.0,6,1437.7,633.4,55.9,0,52,1,1
CAB0008,2025,Trans-Pacific,government,None,0,37,10572.0,5,1723.1,475.6,45.5,1,50,0,0
CAB0009,2016,Intra-Asia,consortium,Taiwan-Strait,0,19,3494.0,5,640.6,249.4,40.8,0,59,1,0
