variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max
year,4315.0,,,,2020.396987253766,3.128856853488123,2015.0,2018.0,2021.0,2023.0,2025.0
cable_id,4315,486,CAB0011,11,,,,,,,
ocean_route,4315,9,Intra-Asia,722,,,,,,,
operator_type,4315,4,consortium,1766,,,,,,,
rfs_year,4315.0,,,,2009.1942062572423,7.0420825109456695,1998.0,2003.0,2009.0,2014.0,2025.0
age_years,4315.0,,,,11.202780996523755,6.980427744392044,0.0,5.0,11.0,17.0,27.0
fiber_pairs,4315.0,,,,11.433371958285052,9.094792541693867,2.0,5.0,8.0,16.0,48.0
length_km,4315.0,,,,6809.568713789108,4615.243117833793,191.0,2998.0,5761.0,10369.0,19976.0
n_landing_countries,4315.0,,,,5.034298957126303,1.834666166651688,2.0,4.0,5.0,6.0,11.0
chokepoint,4315,8,None,3569,,,,,,,
design_capacity_tbps,4315.0,,,,301.9242410196987,320.16441640048896,16.0,100.6,196.6,421.55,2235.4
lit_capacity_tbps,4315.0,,,,192.6848899188876,172.22497577223126,16.0,71.1,132.7,254.55,1292.8
utilization_pct,4315.0,,,,61.91575898030128,23.271116742708994,1.0,45.0,61.8,79.6,100.0
protected_burial,4315.0,,,,0.5237543453070683,0.49949329438665496,0.0,0.0,1.0,1.0,1.0
design_life_years,4315.0,,,,25.0,0.0,25.0,25.0,25.0,25.0,25.0
route_redundancy,4315.0,,,,46.50544611819235,11.755512639868423,27.0,38.0,45.0,52.0,77.0
is_low_redundancy,4315.0,,,,0.2984936268829664,0.45765021590149213,0.0,0.0,0.0,1.0,1.0
vulnerability_index,4315.0,,,,36.8739281575898,19.64720053479285,0.0,22.2,34.9,48.4,100.0
fault_cause,4315,5,none,3502,,,,,,,
fault_this_year,4315.0,,,,0.1884125144843569,0.3910865437258191,0.0,0.0,0.0,0.0,1.0
fault_next_year,4315.0,,,,0.1895712630359212,0.39200715829559485,0.0,0.0,0.0,0.0,1.0
next_observed_year,4315.0,,,,2021.396987253766,3.128856853488123,2016.0,2019.0,2022.0,2024.0,2026.0
has_consecutive_next_year,4315,1,True,4315,,,,,,,
label_temporally_valid,4315,1,True,4315,,,,,,,
