feature,importance
numeric__fault_this_year,0.18838454819399675
numeric__length_km,0.13294446316585298
numeric__lit_capacity_tbps,0.12016260228055933
numeric__utilization_pct,0.11390467944273062
categorical__chokepoint_None,0.09044489954256123
numeric__design_capacity_tbps,0.06917117264892357
numeric__route_redundancy,0.0685371283029926
numeric__protected_burial,0.04967401301483753
numeric__age_years,0.047857052434660756
categorical__operator_type_hyperscaler,0.0320739977192037
categorical__ocean_route_Trans-Pacific,0.02088862686032414
categorical__ocean_route_Trans-Atlantic,0.020483568917247275
numeric__n_landing_countries,0.017872129369483104
categorical__chokepoint_Malacca,0.014172904942580045
categorical__operator_type_consortium,0.012930061375778042
categorical__ocean_route_Indian-Ocean,0.0004981517882681766
categorical__ocean_route_Intra-Asia,0.0
categorical__ocean_route_Americas,0.0
categorical__ocean_route_Africa-Coastal,0.0
numeric__fiber_pairs,0.0
categorical__ocean_route_EMEA-Asia,0.0
categorical__ocean_route_Intra-Europe,0.0
categorical__ocean_route_Intra-Pacific-Islands,0.0
categorical__operator_type_government,0.0
categorical__operator_type_carrier,0.0
categorical__chokepoint_Hormuz,0.0
categorical__chokepoint_Bab-el-Mandeb,0.0
categorical__chokepoint_Luzon-Strait,0.0
categorical__chokepoint_Panama,0.0
categorical__chokepoint_Suez,0.0
categorical__chokepoint_Taiwan-Strait,0.0
