feature,coefficient,odds_ratio,direction
categorical__ocean_route_Americas,0.5716234556039067,1.7711400859785889,positive
categorical__ocean_route_EMEA-Asia,-0.461693441879113,0.6302155080136694,negative
numeric__length_km,0.4284096530088615,1.534814693659551,positive
categorical__chokepoint_None,-0.3950850504983578,0.6736227448622885,negative
categorical__ocean_route_Trans-Pacific,-0.3583119219472829,0.6988550527764036,negative
categorical__chokepoint_Panama,0.35695940949416594,1.4289778657422807,positive
categorical__ocean_route_Trans-Atlantic,-0.35632085213347076,0.7002479081522155,negative
categorical__chokepoint_Malacca,0.3236476816162879,1.3821602608577053,positive
categorical__ocean_route_Intra-Pacific-Islands,0.28214960936530586,1.3259770837377927,positive
numeric__fault_this_year,0.23561248804825857,1.2656837475442806,positive
numeric__protected_burial,-0.22653538329491338,0.7972911310266649,negative
categorical__ocean_route_Indian-Ocean,0.21093560585431784,1.2348328364955905,positive
categorical__ocean_route_Intra-Asia,0.19180133134812585,1.2114298199270492,positive
categorical__chokepoint_Suez,0.13743604296328094,1.1473283239057066,positive
categorical__chokepoint_Bab-el-Mandeb,-0.11792966756010442,0.8887585589744099,negative
numeric__age_years,0.11731641552982408,1.1244751748141408,positive
numeric__utilization_pct,0.08580447079069915,1.0895932601666654,positive
categorical__chokepoint_Hormuz,-0.08385599590235317,0.9195636674971703,negative
numeric__design_capacity_tbps,-0.08196242983660244,0.9213065716845742,negative
categorical__operator_type_carrier,0.0685130835364251,1.0709146362099717,positive
categorical__chokepoint_Luzon-Strait,-0.059011071437540585,0.9426963320957626,negative
numeric__fiber_pairs,0.0588804097179596,1.0606483899151515,positive
numeric__lit_capacity_tbps,-0.04641423064425853,0.9546464364685154,negative
categorical__chokepoint_Taiwan-Strait,-0.044469372577369354,0.9565048949246711,negative
numeric__n_landing_countries,0.03676443873733054,1.037448609347975,positive
categorical__operator_type_consortium,0.033104173057849726,1.0336582129696739,positive
numeric__route_redundancy,0.030890706116879312,1.031372774990822,positive
categorical__ocean_route_Africa-Coastal,0.026914878718201887,1.0272803556210992,positive
categorical__operator_type_hyperscaler,0.01710010790800267,1.017247151712472,positive
categorical__ocean_route_Intra-Europe,0.010593311168019336,1.010649618941715,positive
categorical__operator_type_government,-0.0010253884042679975,0.998975137126782,negative
