feature,importance
numeric__length_km,0.13168260905082252
numeric__utilization_pct,0.11692828188972894
numeric__lit_capacity_tbps,0.0959324194672214
numeric__age_years,0.09242799861106522
numeric__route_redundancy,0.0824293891501026
numeric__design_capacity_tbps,0.07719442823920214
numeric__n_landing_countries,0.06110527366304831
numeric__fiber_pairs,0.05871305535729009
numeric__fault_this_year,0.052859100756697704
categorical__chokepoint_None,0.03894644405524131
numeric__protected_burial,0.03487927741695859
categorical__operator_type_consortium,0.01527767258418303
categorical__operator_type_carrier,0.013905938735349595
categorical__ocean_route_Intra-Europe,0.012470171032724848
categorical__ocean_route_Americas,0.01212013561390322
categorical__operator_type_hyperscaler,0.012006136043497767
categorical__ocean_route_Trans-Atlantic,0.011196096863932074
categorical__ocean_route_EMEA-Asia,0.008626848883204
categorical__operator_type_government,0.007605918469309418
categorical__ocean_route_Indian-Ocean,0.007198045963759248
categorical__ocean_route_Africa-Coastal,0.007191032074647687
categorical__chokepoint_Panama,0.0071267250034703885
categorical__chokepoint_Malacca,0.00683452420268431
categorical__ocean_route_Intra-Asia,0.006770464594645143
categorical__ocean_route_Trans-Pacific,0.00671183317875073
categorical__chokepoint_Suez,0.005593238183828499
categorical__ocean_route_Intra-Pacific-Islands,0.004738400378333283
categorical__chokepoint_Bab-el-Mandeb,0.0032844222805924507
categorical__chokepoint_Luzon-Strait,0.00301231635830466
categorical__chokepoint_Hormuz,0.0027681895288861375
categorical__chokepoint_Taiwan-Strait,0.002463612368614683
