term,coefficient,standard_error,odds_ratio,ci_low,ci_high,p_value
Intercept,-1.7391112366085055,0.5543083117068458,0.17567646606588153,0.05927690175895906,0.5206449698550975,0.001704278795391703
C(ocean_route)[T.Americas],0.4589871353283106,0.2623819865073974,1.582470344690141,0.9462276364140829,2.6465221427202685,0.08023764421034611
C(ocean_route)[T.EMEA-Asia],-0.5641626556678733,0.25309947868580684,0.5688362592122487,0.3463766478487177,0.9341700481376213,0.025812874904677048
C(ocean_route)[T.Indian-Ocean],0.03440084024044511,0.22799489946757445,1.0349993929965997,0.6620190471197445,1.6181161979612488,0.8800670220447151
C(ocean_route)[T.Intra-Asia],0.39046029705041885,0.3148715340500429,1.4776608002760543,0.7971785725077807,2.7390117044963076,0.21495237730535388
C(ocean_route)[T.Intra-Europe],-0.06045654949756278,0.31994324702555854,0.9413346695941793,0.5028145871945943,1.7623016172302277,0.8501239871762255
C(ocean_route)[T.Intra-Pacific-Islands],0.21294176505922416,0.29278483921261483,1.2373125943198544,0.6970445349864453,2.1963337767109805,0.46704355469277226
C(ocean_route)[T.Trans-Atlantic],-0.2426484108098685,0.2329281882083574,0.7845473036374534,0.4969930332037664,1.2384770620968413,0.29753661859358216
C(ocean_route)[T.Trans-Pacific],-0.29661723197204276,0.20874110611696994,0.7433284802923783,0.4937419424175184,1.1190810059772878,0.15532216296521748
C(operator_type)[T.consortium],0.0016818267471514178,0.12231793430174868,1.0016832418109414,0.7881578285452286,1.2730563354003381,0.9890297255045215
C(operator_type)[T.government],-0.05228784681493876,0.18119294626193758,0.9490556448771622,0.6653650139593805,1.353703002376667,0.7729062389782214
C(operator_type)[T.hyperscaler],-0.03201070480891532,0.13944614300282948,0.968496214456795,0.736887442101634,1.2729012109935947,0.8184367672351738
C(chokepoint)[T.Hormuz],0.1439091271486108,0.4784495220968744,1.1547791656812478,0.4521077671898914,2.9495510103266698,0.7635805390644899
C(chokepoint)[T.Luzon-Strait],-0.246149178454012,0.4706018434377282,0.7818055876769038,0.310829159952055,1.9664177486343584,0.6009381514024092
C(chokepoint)[T.Malacca],0.24774416213164768,0.39765839095664146,1.2811321281507215,0.5876334191660207,2.7930670316697728,0.5332795897739138
C(chokepoint)[T.None],-0.44621780191358607,0.30010478954637926,0.6400443539943574,0.35543518003240937,1.152549882773846,0.13704827453671387
C(chokepoint)[T.Panama],0.260437286078312,0.42979583073006206,1.2974973401542023,0.5588092698654965,3.0126546542659223,0.544544089398306
C(chokepoint)[T.Suez],0.02934268914967798,0.323307514802359,1.0297774275666522,0.5464412957029905,1.9406321569484344,0.9276850168113902
C(chokepoint)[T.Taiwan-Strait],-0.0839419548583033,0.5355883509487012,0.9194846261615867,0.321848019735959,2.62686711088393,0.8754588307905204
age_years,0.032949830181186565,0.011475099748988212,1.0334986874987244,1.0105139349846812,1.0570062421531852,0.004086322819904802
fiber_pairs,-0.005839203263880297,0.017062881503516588,0.9941778117493489,0.9614796909019486,1.0279879343551517,0.7321878067452968
length_km,8.53603616275598e-05,2.3428653722670912e-05,1.000085364004927,1.0000394418219332,1.0001312882966844,0.00026904215097364124
n_landing_countries,0.007670765392755446,0.028095785683244133,1.0077002610835513,0.9537096893870703,1.0647472994014275,0.7848363646047162
design_capacity_tbps,0.0005875747268073571,0.0004757965437529338,1.0005877473826517,0.9996550901321721,1.001521274782801,0.21685710396851576
lit_capacity_tbps,-0.0007069430334396169,0.0006099773610701494,0.9992933067919124,0.9980993318691636,1.0004887100054842,0.24647003675536605
utilization_pct,0.0014034239981633423,0.0022478552200649003,1.0014044092584815,0.9970022110938923,1.005826045041628,0.5324048836267319
protected_burial,-0.391604442704323,0.09907711429303633,0.675971446521809,0.5566647984010631,0.8208483773812743,7.733191870664136e-05
route_redundancy,-0.008657115080766041,0.008648403606686833,0.9913802498381182,0.9747174209349927,1.0083279303926984,0.3168232826723536
fault_this_year,0.5267390780628437,0.09186729532648405,1.6934012460665022,1.4143675752015847,2.027484107001585,9.826580540639155e-09
