accuracy,precision,recall,f1,TN,FP,FN,TP,roc_auc,pr_auc,model,fold,train_max_year,validation_year,n_train,n_validation
0.783068783068783,0.0,0.0,0.0,296,0,82,0,0.5,0.21693121693121692,dummy_baseline,through_2018_to_2019,2018,2019,1342,378
0.6798941798941799,0.35555555555555557,0.5853658536585366,0.4423963133640553,209,87,34,48,0.6714321028345418,0.3797437440961977,logistic_regression,through_2018_to_2019,2018,2019,1342,378
0.5952380952380952,0.2446043165467626,0.4146341463414634,0.3076923076923077,191,105,48,34,0.5979523731048123,0.27884439858265236,decision_tree,through_2018_to_2019,2018,2019,1342,378
0.716931216931217,0.3626373626373626,0.4024390243902439,0.3815028901734104,238,58,49,33,0.6610497692814766,0.3854164626823864,random_forest,through_2018_to_2019,2018,2019,1342,378
0.7808564231738035,0.0,0.0,0.0,310,0,87,0,0.5,0.21914357682619648,dummy_baseline,through_2019_to_2020,2019,2020,1720,397
0.5969773299748111,0.27607361963190186,0.5172413793103449,0.36,192,118,42,45,0.625176121616611,0.32154315542385614,logistic_regression,through_2019_to_2020,2019,2020,1720,397
0.6272040302267002,0.2805755395683453,0.4482758620689655,0.34513274336283184,210,100,48,39,0.5808861698183168,0.28352215161636035,decision_tree,through_2019_to_2020,2019,2020,1720,397
0.7002518891687658,0.35714285714285715,0.45977011494252873,0.4020100502512563,238,72,47,40,0.6314423433444567,0.3772582388345501,random_forest,through_2019_to_2020,2019,2020,1720,397
0.8221153846153846,0.0,0.0,0.0,342,0,74,0,0.5,0.1778846153846154,dummy_baseline,through_2020_to_2021,2020,2021,2117,416
0.5889423076923077,0.2512820512820513,0.6621621621621622,0.3643122676579926,196,146,25,49,0.6654417575470207,0.32265669552320053,logistic_regression,through_2020_to_2021,2020,2021,2117,416
0.6346153846153846,0.2328767123287671,0.4594594594594595,0.3090909090909091,230,112,40,34,0.5980519993677889,0.2685843496782857,decision_tree,through_2020_to_2021,2020,2021,2117,416
0.7211538461538461,0.3125,0.47297297297297297,0.3763440860215054,265,77,39,35,0.6623992413466098,0.346649565156564,random_forest,through_2020_to_2021,2020,2021,2117,416
0.810304449648712,0.0,0.0,0.0,346,0,81,0,0.5,0.18969555035128804,dummy_baseline,through_2021_to_2022,2021,2022,2533,427
0.6814988290398126,0.3312883435582822,0.6666666666666666,0.4426229508196721,237,109,27,54,0.6950688646257046,0.3405024283689111,logistic_regression,through_2021_to_2022,2021,2022,2533,427
0.6018735362997658,0.26455026455026454,0.6172839506172839,0.37037037037037035,207,139,31,50,0.6367123385427818,0.28519579666608535,decision_tree,through_2021_to_2022,2021,2022,2533,427
0.747072599531616,0.37383177570093457,0.49382716049382713,0.425531914893617,279,67,41,40,0.6699493327624348,0.3441720803152738,random_forest,through_2021_to_2022,2021,2022,2533,427
