variable,dtype,rows,missing_count,unique_count,literal_none_count
year,int64,4821,0,12,0
cable_id,object,4821,0,500,0
ocean_route,object,4821,0,9,0
operator_type,object,4821,0,4,0
rfs_year,int64,4821,0,29,0
age_years,int64,4821,0,29,0
fiber_pairs,int64,4821,0,41,0
length_km,float64,4821,0,492,0
n_landing_countries,int64,4821,0,10,0
chokepoint,object,4821,0,8,3986
design_capacity_tbps,float64,4821,0,168,0
lit_capacity_tbps,float64,4821,0,2033,0
utilization_pct,float64,4821,0,877,0
protected_burial,int64,4821,0,2,0
design_life_years,int64,4821,0,1,0
route_redundancy,int64,4821,0,38,0
is_low_redundancy,int64,4821,0,2,0
vulnerability_index,float64,4821,0,117,0
fault_cause,object,4821,0,5,0
fault_this_year,int64,4821,0,2,0
fault_next_year,float64,4821,500,3,0
